valid_at,Zona Belvedere_pm2p5,Zona Ex Pesa_pm2p5,Via Ragazzi del 99_pm2p5,Chimica Casearia_pm2p5,Zona Belvedere_pm10,Zona Ex Pesa_pm10,Via Ragazzi del 99_pm10,Chimica Casearia_pm10
2021-08-22,16.859237053764616,12.411407384744543,13.092363465300963,13.148435599781456,21.614406479185405,15.91206074967249,16.785081365770463,16.856968717668533
2021-08-23,7.2572873170104275,5.947093707062706,6.380397959710403,7.051294950395594,9.304214508987727,7.624479111618853,8.179997384244105,9.040121731276402
2021-08-24,7.294578819425247,4.921834479331836,6.794804713419215,6.486627959980271,9.352024127468265,6.310044204271584,8.711288094127198,8.316189692282398
2021-08-25,3.293354667966904,3.190607702649112,4.564411186146021,3.1293833973010816,4.222249574316543,4.0905226957039895,6.04347334384807,4.012029996539848
2021-08-26,7.595132490631387,6.471783881636626,6.306341487082631,8.22598715104038,9.737349346963315,8.297158822611058,8.085053188567475,10.546137373128692
2021-08-27,5.12101609587071,3.7932773609776067,4.0074340926254335,5.78977049707693,6.565405251116294,4.863176103817444,5.1377360161864525,7.422782688560166
2021-08-28,7.328508023183228,4.660850827212291,9.612270124936892,6.963367926537994,9.395523106645163,5.975449778477295,12.652298286948792,8.927394777612811
2021-08-29,6.3428447561312575,2.982909187137155,4.233272021009224,3.3520285890563417,8.13185225145033,3.8242425476117368,5.493820299882902,4.297472550072232
2021-08-30,6.176413725594479,4.287566253033082,4.754945721575273,7.7694350680646425,7.918479135377536,5.4968798115808735,6.096084258429836,9.960814189826463
2021-08-31,10.138405325715377,7.162298185566816,7.676610728963824,12.84308078622963,12.997955545788944,9.182433571239507,9.841808626876697,16.465488187473884
2021-09-01,23.847941231045144,17.79964644350829,19.37639871186608,31.03013635687596,42.088404417204536,33.63110440375318,36.179296528111855,50.025712054651855
2021-09-02,19.347277489110624,14.88059591152864,16.11483659025341,21.5668832484554,36.47753549245573,30.37646776366619,32.6730615765587,38.905619628775156
2021-09-03,16.93731061730863,13.362462044289657,13.866469722476566,32.05450179254099,27.602137059976044,22.767314838329995,23.574360682112,46.008227657694306
2021-09-04,17.98090173128946,13.95672422923775,14.818175220227527,37.5634454778978,29.407550089510927,24.10433430339654,25.69564158006292,53.365603978485474
2021-09-05,19.06750589616389,15.89478671635548,16.370772710226667,39.02965657632937,35.319613694986984,31.113880272332203,31.834015520456504,60.054750475675206
2021-09-06,18.25432883435068,14.978028474452824,15.257908991615334,31.374010279267,31.8938826843142,27.28102564338333,27.89063266844999,48.10540816789937
2021-09-07,18.998502146524157,16.06753591951332,16.460158973824477,37.901380408445306,29.38562967958623,25.539082896436433,26.281759358172067,52.932762122170125
2021-09-08,17.078411445754362,15.443476184368983,16.072096820186704,19.81393022414212,32.460173257999664,30.66096011836182,31.22091153561105,36.07539882739324
2021-09-09,22.26741542543123,,19.421118744326375,50.72972223134241,40.43392336248307,,37.02155035335074,75.97545006455435
2021-09-10,20.854587361622446,,18.66683794498982,41.62904332489829,33.04120637364609,,30.01107474790023,59.224542700692496
2021-09-11,28.549481024381425,,23.839148229136832,42.317392813390754,41.78462354539184,,35.805788319495235,58.569020022185114
2021-09-12,30.292856697606364,,25.03175315771273,33.40242004035372,52.48227466514348,,45.320049351344686,55.76232637069778
2021-09-13,27.99265798069447,,24.527450013046863,33.281300893992665,46.975046263635825,,42.16526703846507,53.07600014617606
2021-09-14,27.776385083625545,22.7263322169731,24.039121324821394,28.525558516187377,42.604006616665224,32.49592205047041,37.72665802829121,44.18097893224501
2021-09-15,22.246027872574786,20.21992338980926,19.737889530710433,22.723221671722833,33.40208801582183,31.110373574072256,30.21660941610046,33.64719469507446
2021-09-16,12.747612882517043,10.91367690009093,10.901373692465016,15.1778994526031,20.152758538567866,17.9162403122331,18.517053689716356,22.761344318243523
2021-09-17,17.41908298588269,13.227120815191991,15.872335910624457,18.01977076061116,29.559967160834454,24.109067964075436,29.752417657500615,30.1026471744359
2021-09-18,14.510109168878863,11.159589701342018,11.78915669220655,15.520065887886453,27.17093071803255,22.816269038311525,23.68156785186538,28.04881874776389
2021-09-19,10.637909464182055,9.167903094587462,9.102885882527715,14.871827273483305,19.679254223773825,17.908600529323056,17.666701526381075,24.7567054497297
2021-09-20,10.771745845001329,8.855444454373355,9.503589892883806,15.296430004611334,20.56689606398718,18.109344819732623,19.13917601816256,26.432741696472448
2021-09-21,12.260465924012344,10.767249299621586,11.083248252450574,13.647210341757127,20.46453641923198,18.575447812946322,18.94217451251898,22.3145400149401
2021-09-22,17.79047894856229,13.861836846273473,14.09879097686446,22.040990753398116,27.21549609324437,21.966862022867076,22.532019812234125,31.957414004833872
2021-09-23,28.00691542018649,17.551012459603893,18.282982401953255,69.1294784112605,40.520409093849636,25.08768879858188,26.145113446833378,89.04700914991591
2021-09-24,39.251527397447205,25.498253107618247,25.23282040910443,49.757931500105,64.11765911452623,42.69508848755163,37.31592566511639,73.566577688091
